latitude,longitude,valid_time_120,prate_120,t2m_120,si10_120,sde_120
22.05,60.0,2023-01-19 12:00:00,0.0,20.320038,9.300171,0.0
22.05,60.15,2023-01-19 12:00:00,0.0,20.695038,8.250171,0.0
22.05,60.3,2023-01-19 12:00:00,1e-05,21.120026,7.6001706,0.0
22.05,60.45,2023-01-19 12:00:00,3e-05,21.445038,7.3501706,0.0
22.05,60.6,2023-01-19 12:00:00,0.0,21.470032,7.3501706,0.0
22.05,60.75,2023-01-19 12:00:00,0.0,21.095032,7.2501707,0.0
22.05,60.9,2023-01-19 12:00:00,1e-05,20.745026,7.150171,0.0
22.05,61.05,2023-01-19 12:00:00,3e-05,20.495026,7.0501704,0.0
22.05,61.2,2023-01-19 12:00:00,1e-05,20.445038,7.0001707,0.0
22.05,61.35,2023-01-19 12:00:00,4e-05,20.345032,6.3501706,0.0
22.05,61.5,2023-01-19 12:00:00,0.00013,20.27002,5.9501705,0.0
22.05,61.65,2023-01-19 12:00:00,0.00019,20.27002,6.0001707,0.0
22.05,61.8,2023-01-19 12:00:00,0.00015,20.420013,6.7001705,0.0
22.05,61.95,2023-01-19 12:00:00,9e-05,20.695038,8.250171,0.0
22.05,62.1,2023-01-19 12:00:00,3e-05,20.720032,9.300171,0.0
22.05,62.25,2023-01-19 12:00:00,0.0,20.595032,9.600171,0.0
22.05,62.4,2023-01-19 12:00:00,0.0,20.420013,9.100171,0.0
22.05,62.55,2023-01-19 12:00:00,7e-05,20.370026,7.0501704,0.0
22.05,62.7,2023-01-19 12:00:00,6e-05,20.570038,5.150171,0.0
22.05,62.85,2023-01-19 12:00:00,1e-05,20.945038,3.8501706,0.0
22.05,63.0,2023-01-19 12:00:00,2e-05,21.420013,3.1501706,0.0
22.05,63.15,2023-01-19 12:00:00,2e-05,21.595032,2.4001706,0.0
22.05,63.3,2023-01-19 12:00:00,1e-05,21.995026,1.7501706,0.0
22.05,63.45,2023-01-19 12:00:00,0.0,22.445038,1.7501706,0.0
22.05,63.6,2023-01-19 12:00:00,0.0,22.77002,2.0001707,0.0
22.05,63.75,2023-01-19 12:00:00,0.0,22.820038,2.2001705,0.0
22.05,63.9,2023-01-19 12:00:00,0.0,22.820038,2.6001706,0.0
22.05,64.05,2023-01-19 12:00:00,0.0,22.745026,3.2001705,0.0
22.05,64.2,2023-01-19 12:00:00,0.0,22.620026,3.9501705,0.0
