latitude,longitude,valid_time_60,prate_60,t2m_60,si10_60,sde_60
22.05,60.0,2023-01-17,0.0,22.700317,2.5022602,0.0
22.05,60.15,2023-01-17,0.0,22.800323,2.7522602,0.0
22.05,60.3,2023-01-17,0.0,22.825317,2.9022603,0.0
22.05,60.45,2023-01-17,0.0,22.800323,3.0022602,0.0
22.05,60.6,2023-01-17,0.0,22.725311,3.10226,0.0
22.05,60.75,2023-01-17,0.0,22.675323,3.2522602,0.0
22.05,60.9,2023-01-17,0.0,22.575317,3.4022603,0.0
22.05,61.05,2023-01-17,0.0,22.475311,3.5522602,0.0
22.05,61.2,2023-01-17,0.0,22.425323,3.7522602,0.0
22.05,61.35,2023-01-17,0.0,22.40033,3.9022603,0.0
22.05,61.5,2023-01-17,0.0,22.350311,4.1522603,0.0
22.05,61.65,2023-01-17,0.0,22.350311,4.4022603,0.0
22.05,61.8,2023-01-17,0.0,22.325317,4.75226,0.0
22.05,61.95,2023-01-17,0.0,22.325317,4.95226,0.0
22.05,62.1,2023-01-17,0.0,22.325317,5.1522603,0.0
22.05,62.25,2023-01-17,0.0,22.325317,5.35226,0.0
22.05,62.4,2023-01-17,0.0,22.300323,5.5522604,0.0
22.05,62.55,2023-01-17,0.0,22.300323,5.8022604,0.0
22.05,62.7,2023-01-17,0.0,22.300323,6.00226,0.0
22.05,62.85,2023-01-17,0.0,22.300323,6.25226,0.0
22.05,63.0,2023-01-17,0.0,22.325317,6.35226,0.0
22.05,63.15,2023-01-17,0.0,22.350311,6.45226,0.0
22.05,63.3,2023-01-17,0.0,22.40033,6.5522604,0.0
22.05,63.45,2023-01-17,0.0,22.425323,6.60226,0.0
22.05,63.6,2023-01-17,0.0,22.40033,6.5522604,0.0
22.05,63.75,2023-01-17,0.0,22.325317,6.45226,0.0
22.05,63.9,2023-01-17,0.0,22.225311,6.1522603,0.0
22.05,64.05,2023-01-17,0.0,22.15033,5.75226,0.0
22.05,64.2,2023-01-17,0.0,22.15033,5.3022604,0.0
22.05,64.35,2023-01-17,0.0,22.100311,5.10226,0.0
22.05,64.5,2023-01-17,0.0,22.100311,5.00226,0.0
22.05,64.65,2023-01-17,0.0,22.100311,4.95226,0.0
22.05,64.8,2023-01-17,0.0,22.15033,4.8022604,0.0
22.05,64.95,2023-01-17,0.0,22.15033,4.5522604,0.0
22.05,65.1,2023-01-17,0.0,22.100311,4.20226,0.0
22.05,65.25,2023-01-17,0.0,22.075317,3.9022603,0.0
22.05,65.4,2023-01-17,0.0,22.050323,3.5522602,0.0
22.05,65.55,2023-01-17,0.0,21.975311,3.4022603,0.0
22.05,65.7,2023-01-17,0.0,21.90033,3.4522603,0.0
22.05,65.85,2023-01-17,0.0,21.725311,3.6522603,0.0
22.05,66.0,2023-01-17,0.0,21.550323,3.9022603,0.0
22.05,66.15,2023-01-17,0.0,21.475311,4.1522603,0.0
22.05,66.3,2023-01-17,0.0,21.450317,4.4022603,0.0
22.05,66.45,2023-01-17,0.0,21.425323,4.70226,0.0
22.05,66.6,2023-01-17,0.0,21.475311,4.9022603,0.0
22.05,66.75,2023-01-17,0.0,21.600311,5.10226,0.0
22.05,66.9,2023-01-17,0.0,21.725311,5.25226,0.0
22.05,67.05,2023-01-17,0.0,21.825317,5.50226,0.0
22.05,67.2,2023-01-17,0.0,21.850311,5.85226,0.0
22.05,67.35,2023-01-17,0.0,21.850311,6.10226,0.0
22.05,67.5,2023-01-17,0.0,21.800323,6.35226,0.0
22.05,67.65,2023-01-17,0.0,21.750336,6.5522604,0.0
22.05,67.8,2023-01-17,0.0,21.675323,6.6522603,0.0
22.05,67.95,2023-01-17,0.0,21.500336,6.8022604,0.0
22.05,68.1,2023-01-17,0.0,21.425323,6.95226,0.0
22.05,68.25,2023-01-17,0.0,21.300323,7.00226,0.0
22.05,68.4,2023-01-17,0.0,21.200317,7.00226,0.0
22.05,68.55,2023-01-17,0.0,21.000336,6.9022603,0.0
22.05,68.7,2023-01-17,0.0,20.600311,6.60226,0.0
22.05,68.85,2023-01-17,0.0,19.600311,6.00226,0.0
22.05,69.0,2023-01-17,0.0,17.700317,4.9022603,0.0
22.05,69.15,2023-01-17,0.0,12.575317,3.0022602,0.0
22.05,69.3,2023-01-17,0.0,8.725311,2.0522602,0.0
22.05,69.45,2023-01-17,0.0,6.4003296,1.8022602,0.0
22.05,69.6,2023-01-17,0.0,5.8253174,2.0022602,0.0
22.05,69.75,2023-01-17,0.0,6.6503296,2.2022603,0.0
22.05,69.9,2023-01-17,0.0,7.4253235,2.4522603,0.0
22.05,70.05,2023-01-17,0.0,8.0503235,2.7522602,0.0
22.05,70.2,2023-01-17,0.0,8.4253235,2.9522603,0.0
22.05,70.35,2023-01-17,0.0,7.4753113,2.9522603,0.0
22.05,70.5,2023-01-17,0.0,7.1503296,2.9022603,0.0
22.05,70.65,2023-01-17,0.0,7.4253235,2.9022603,0.0
22.05,70.8,2023-01-17,0.0,8.4253235,2.9522603,0.0
22.05,70.95,2023-01-17,0.0,9.1753235,2.9022603,0.0
22.05,71.1,2023-01-17,0.0,9.500336,2.9522603,0.0
22.05,71.25,2023-01-17,0.0,9.575317,2.8022602,0.0
22.05,71.4,2023-01-17,0.0,9.450317,2.35226,0.0
22.05,71.55,2023-01-17,0.0,8.9253235,2.5022602,0.0
22.05,71.7,2023-01-17,0.0,8.350311,2.7522602,0.0
22.05,71.85,2023-01-17,0.0,7.7253113,3.0022602,0.0
22.05,72.0,2023-01-17,0.0,6.9503174,3.2022603,0.0
22.05,72.15,2023-01-17,0.0,9.600311,3.9022603,0.0
22.05,72.3,2023-01-17,0.0,12.975311,5.10226,0.0
22.05,72.45,2023-01-17,0.0,14.975311,5.70226,0.0
22.05,72.6,2023-01-17,0.0,13.5503235,4.45226,0.0
22.05,72.75,2023-01-17,0.0,11.725311,3.1522603,0.0
22.05,72.9,2023-01-17,0.0,10.500336,1.9022602,0.0
22.05,73.05,2023-01-17,0.0,9.825317,1.1022602,0.0
22.05,73.2,2023-01-17,0.0,9.575317,1.3522602,0.0
22.05,73.35,2023-01-17,0.0,10.600311,2.60226,0.0
22.05,73.5,2023-01-17,0.0,10.500336,3.1522603,0.0
22.05,73.65,2023-01-17,0.0,9.750336,3.10226,0.0
22.05,73.8,2023-01-17,0.0,8.8003235,2.5522602,0.0
22.05,73.95,2023-01-17,0.0,8.750336,1.8522602,0.0
22.05,74.1,2023-01-17,0.0,8.725311,1.6022602,0.0
22.05,74.25,2023-01-17,0.0,8.950317,1.3522602,0.0
22.05,74.4,2023-01-17,0.0,9.65033,0.9522602,0.0
22.05,74.55,2023-01-17,0.0,10.100311,0.6022602,0.0
22.05,74.7,2023-01-17,0.0,9.5503235,0.4522602,0.0
22.05,74.85,2023-01-17,0.0,8.575317,0.40226018,0.0
22.05,75.0,2023-01-17,0.0,7.8003235,0.35226017,0.0
22.05,75.15,2023-01-17,0.0,7.5503235,0.3022602,0.0
22.05,75.3,2023-01-17,0.0,7.5753174,0.25226018,0.0
22.05,75.45,2023-01-17,0.0,7.7503357,0.25226018,0.0
22.05,75.6,2023-01-17,0.0,8.075317,0.5022602,0.0
22.05,75.75,2023-01-17,0.0,8.1753235,0.6522602,0.0
22.05,75.9,2023-01-17,0.0,8.90033,0.3022602,0.0
22.2,60.0,2023-01-17,0.0,22.750336,2.4022603,0.0
22.2,60.15,2023-01-17,0.0,22.725311,2.6522603,0.0
22.2,60.3,2023-01-17,0.0,22.725311,2.8022602,0.0
22.2,60.45,2023-01-17,0.0,22.725311,2.9522603,0.0
22.2,60.6,2023-01-17,0.0,22.675323,3.0022602,0.0
22.2,60.75,2023-01-17,0.0,22.575317,3.1522603,0.0
22.2,60.9,2023-01-17,0.0,22.500336,3.35226,0.0
22.2,61.05,2023-01-17,0.0,22.425323,3.5522602,0.0
22.2,61.2,2023-01-17,0.0,22.350311,3.7522602,0.0
22.2,61.35,2023-01-17,0.0,22.325317,3.9522603,0.0
22.2,61.5,2023-01-17,0.0,22.325317,4.20226,0.0
22.2,61.65,2023-01-17,0.0,22.300323,4.50226,0.0
22.2,61.8,2023-01-17,0.0,22.300323,4.8022604,0.0
22.2,61.95,2023-01-17,0.0,22.300323,5.10226,0.0
22.2,62.1,2023-01-17,0.0,22.300323,5.25226,0.0
22.2,62.25,2023-01-17,0.0,22.250336,5.45226,0.0
22.2,62.4,2023-01-17,0.0,22.250336,5.6522603,0.0
22.2,62.55,2023-01-17,0.0,22.250336,5.9022603,0.0
22.2,62.7,2023-01-17,0.0,22.225311,6.10226,0.0
22.2,62.85,2023-01-17,0.0,22.250336,6.25226,0.0
22.2,63.0,2023-01-17,0.0,22.250336,6.4022603,0.0
22.2,63.15,2023-01-17,0.0,22.325317,6.50226,0.0
22.2,63.3,2023-01-17,0.0,22.40033,6.60226,0.0
22.2,63.45,2023-01-17,0.0,22.425323,6.6522603,0.0
22.2,63.6,2023-01-17,0.0,22.40033,6.6522603,0.0
22.2,63.75,2023-01-17,0.0,22.300323,6.5522604,0.0
22.2,63.9,2023-01-17,0.0,22.175323,6.20226,0.0
22.2,64.05,2023-01-17,0.0,22.075317,5.75226,0.0
22.2,64.2,2023-01-17,0.0,22.000336,5.35226,0.0
22.2,64.35,2023-01-17,0.0,21.975311,5.1522603,0.0
22.2,64.5,2023-01-17,0.0,21.975311,5.0522604,0.0
22.2,64.65,2023-01-17,0.0,21.975311,4.95226,0.0
22.2,64.8,2023-01-17,0.0,22.000336,4.8022604,0.0
22.2,64.95,2023-01-17,0.0,22.050323,4.5522604,0.0
22.2,65.1,2023-01-17,0.0,22.050323,4.1522603,0.0
22.2,65.25,2023-01-17,0.0,22.000336,3.8022602,0.0
22.2,65.4,2023-01-17,0.0,21.975311,3.4522603,0.0
22.2,65.55,2023-01-17,0.0,21.925323,3.35226,0.0
22.2,65.7,2023-01-17,0.0,21.825317,3.4522603,0.0
22.2,65.85,2023-01-17,0.0,21.700317,3.6522603,0.0
22.2,66.0,2023-01-17,0.0,21.500336,3.9022603,0.0
22.2,66.15,2023-01-17,0.0,21.475311,4.10226,0.0
22.2,66.3,2023-01-17,0.0,21.450317,4.4022603,0.0
22.2,66.45,2023-01-17,0.0,21.450317,4.6522603,0.0
22.2,66.6,2023-01-17,0.0,21.500336,4.9022603,0.0
22.2,66.75,2023-01-17,0.0,21.65033,5.0522604,0.0
22.2,66.9,2023-01-17,0.0,21.725311,5.25226,0.0
22.2,67.05,2023-01-17,0.0,21.800323,5.5522604,0.0
22.2,67.2,2023-01-17,0.0,21.800323,5.9022603,0.0
22.2,67.35,2023-01-17,0.0,21.725311,6.1522603,0.0
22.2,67.5,2023-01-17,0.0,21.65033,6.4022603,0.0
22.2,67.65,2023-01-17,0.0,21.550323,6.60226,0.0
22.2,67.8,2023-01-17,0.0,21.425323,6.8022604,0.0
22.2,67.95,2023-01-17,0.0,21.15033,7.00226,0.0
22.2,68.1,2023-01-17,0.0,20.975311,7.1522603,0.0
22.2,68.25,2023-01-17,0.0,20.825317,7.3022604,0.0
22.2,68.4,2023-01-17,0.0,20.65033,7.35226,0.0
22.2,68.55,2023-01-17,0.0,20.450317,7.25226,0.0
22.2,68.7,2023-01-17,0.0,20.200317,6.9022603,0.0
22.2,68.85,2023-01-17,0.0,19.000336,5.9022603,0.0
22.2,69.0,2023-01-17,0.0,16.075317,3.9022603,0.0
22.2,69.15,2023-01-17,0.0,13.0503235,2.60226,0.0
22.2,69.3,2023-01-17,0.0,10.475311,2.0522602,0.0
22.2,69.45,2023-01-17,0.0,8.500336,1.8522602,0.0
22.2,69.6,2023-01-17,0.0,7.1753235,1.6522602,0.0
22.2,69.75,2023-01-17,0.0,6.5753174,1.6022602,0.0
22.2,69.9,2023-01-17,0.0,6.8503113,1.6022602,0.0
22.2,70.05,2023-01-17,0.0,7.3503113,1.6022602,0.0
22.2,70.2,2023-01-17,0.0,7.4503174,1.6522602,0.0
22.2,70.35,2023-01-17,0.0,6.6753235,1.5522602,0.0
22.2,70.5,2023-01-17,0.0,6.3003235,1.6522602,0.0
22.2,70.65,2023-01-17,0.0,6.6003113,1.8522602,0.0
22.2,70.8,2023-01-17,0.0,7.9253235,2.10226,0.0
22.2,70.95,2023-01-17,0.0,8.65033,2.35226,0.0
22.2,71.1,2023-01-17,0.0,9.0503235,2.3022602,0.0
22.2,71.25,2023-01-17,0.0,9.15033,2.10226,0.0
22.2,71.4,2023-01-17,0.0,8.90033,2.10226,0.0
22.2,71.55,2023-01-17,0.0,8.40033,2.3022602,0.0
22.2,71.7,2023-01-17,0.0,7.9503174,2.6522603,0.0
22.2,71.85,2023-01-17,0.0,7.5753174,3.0022602,0.0
22.2,72.0,2023-01-17,0.0,7.1003113,3.10226,0.0
22.2,72.15,2023-01-17,0.0,8.325317,3.4022603,0.0
22.2,72.3,2023-01-17,0.0,10.950317,4.4022603,0.0
22.2,72.45,2023-01-17,0.0,13.0503235,5.20226,0.0
22.2,72.6,2023-01-17,0.0,12.5503235,4.60226,0.0
22.2,72.75,2023-01-17,0.0,11.8003235,3.85226,0.0
22.2,72.9,2023-01-17,0.0,11.0503235,2.7522602,0.0
22.2,73.05,2023-01-17,0.0,10.575317,1.6522602,0.0
22.2,73.2,2023-01-17,0.0,10.6753235,1.1022602,0.0
22.2,73.35,2023-01-17,0.0,12.1753235,2.2022603,0.0
22.2,73.5,2023-01-17,0.0,12.4253235,3.2522602,0.0
22.2,73.65,2023-01-17,0.0,11.1753235,3.6522603,0.0
22.2,73.8,2023-01-17,0.0,8.225311,2.85226,0.0
22.2,73.95,2023-01-17,0.0,7.7003174,1.9522601,0.0
22.2,74.1,2023-01-17,0.0,8.15033,2.0522602,0.0
22.2,74.25,2023-01-17,0.0,8.725311,2.0522602,0.0
22.2,74.4,2023-01-17,0.0,8.825317,1.1522602,0.0
22.2,74.55,2023-01-17,0.0,8.975311,0.7022602,0.0
22.2,74.7,2023-01-17,0.0,8.750336,0.5022602,0.0
22.2,74.85,2023-01-17,0.0,8.350311,0.3022602,0.0
22.2,75.0,2023-01-17,0.0,7.9503174,0.25226018,0.0
22.2,75.15,2023-01-17,0.0,7.5753174,0.4522602,0.0
22.2,75.3,2023-01-17,0.0,7.4503174,0.6522602,0.0
22.2,75.45,2023-01-17,0.0,7.6503296,0.7022602,0.0
22.2,75.6,2023-01-17,0.0,8.250336,0.4522602,0.0
22.2,75.75,2023-01-17,0.0,8.575317,0.35226017,0.0
22.2,75.9,2023-01-17,0.0,8.475311,0.3022602,0.0
22.35,60.0,2023-01-17,0.0,22.675323,2.1522603,0.0
22.35,60.15,2023-01-17,0.0,22.600311,2.5022602,0.0
22.35,60.3,2023-01-17,0.0,22.65033,2.7522602,0.0
22.35,60.45,2023-01-17,0.0,22.675323,2.9522603,0.0
22.35,60.6,2023-01-17,0.0,22.600311,3.0022602,0.0
22.35,60.75,2023-01-17,0.0,22.500336,3.10226,0.0
22.35,60.9,2023-01-17,0.0,22.425323,3.3022602,0.0
22.35,61.05,2023-01-17,0.0,22.350311,3.5022602,0.0
22.35,61.2,2023-01-17,0.0,22.325317,3.7522602,0.0
22.35,61.35,2023-01-17,0.0,22.300323,4.00226,0.0
22.35,61.5,2023-01-17,0.0,22.250336,4.3022604,0.0
22.35,61.65,2023-01-17,0.0,22.250336,4.5522604,0.0
22.35,61.8,2023-01-17,0.0,22.250336,4.9022603,0.0
22.35,61.95,2023-01-17,0.0,22.225311,5.1522603,0.0
22.35,62.1,2023-01-17,0.0,22.225311,5.35226,0.0
22.35,62.25,2023-01-17,0.0,22.225311,5.5522604,0.0
22.35,62.4,2023-01-17,0.0,22.200317,5.75226,0.0
22.35,62.55,2023-01-17,0.0,22.200317,5.95226,0.0
22.35,62.7,2023-01-17,0.0,22.200317,6.10226,0.0
22.35,62.85,2023-01-17,0.0,22.200317,6.25226,0.0
22.35,63.0,2023-01-17,0.0,22.225311,6.35226,0.0
22.35,63.15,2023-01-17,0.0,22.300323,6.45226,0.0
22.35,63.3,2023-01-17,0.0,22.350311,6.5522604,0.0
22.35,63.45,2023-01-17,0.0,22.425323,6.60226,0.0
22.35,63.6,2023-01-17,0.0,22.40033,6.60226,0.0
22.35,63.75,2023-01-17,0.0,22.250336,6.5522604,0.0
22.35,63.9,2023-01-17,0.0,22.100311,6.20226,0.0
22.35,64.05,2023-01-17,0.0,21.975311,5.75226,0.0
22.35,64.2,2023-01-17,0.0,21.90033,5.35226,0.0
22.35,64.35,2023-01-17,0.0,21.850311,5.1522603,0.0
22.35,64.5,2023-01-17,0.0,21.850311,5.0522604,0.0
22.35,64.65,2023-01-17,0.0,21.90033,4.9022603,0.0
22.35,64.8,2023-01-17,0.0,21.950317,4.8022604,0.0
22.35,64.95,2023-01-17,0.0,21.975311,4.50226,0.0
22.35,65.1,2023-01-17,0.0,21.975311,4.10226,0.0
22.35,65.25,2023-01-17,0.0,21.950317,3.7522602,0.0
22.35,65.4,2023-01-17,0.0,21.925323,3.4022603,0.0
22.35,65.55,2023-01-17,0.0,21.850311,3.3022602,0.0
22.35,65.7,2023-01-17,0.0,21.750336,3.4522603,0.0
22.35,65.85,2023-01-17,0.0,21.65033,3.6522603,0.0
22.35,66.0,2023-01-17,0.0,21.475311,3.9022603,0.0
22.35,66.15,2023-01-17,0.0,21.450317,4.1522603,0.0
22.35,66.3,2023-01-17,0.0,21.450317,4.4022603,0.0
22.35,66.45,2023-01-17,0.0,21.475311,4.6522603,0.0
22.35,66.6,2023-01-17,0.0,21.550323,4.9022603,0.0
22.35,66.75,2023-01-17,0.0,21.600311,5.10226,0.0
22.35,66.9,2023-01-17,0.0,21.65033,5.35226,0.0
22.35,67.05,2023-01-17,0.0,21.65033,5.70226,0.0
22.35,67.2,2023-01-17,0.0,21.600311,6.0522604,0.0
22.35,67.35,2023-01-17,0.0,21.500336,6.3022604,0.0
22.35,67.5,2023-01-17,0.0,21.40033,6.5522604,0.0
22.35,67.65,2023-01-17,0.0,21.250336,6.70226,0.0
22.35,67.8,2023-01-17,0.0,21.100311,6.9022603,0.0
22.35,67.95,2023-01-17,0.0,20.750336,7.0522604,0.0
22.35,68.1,2023-01-17,0.0,20.500336,7.25226,0.0
22.35,68.25,2023-01-17,0.0,20.325317,7.45226,0.0
22.35,68.4,2023-01-17,0.0,20.100311,7.60226,0.0
22.35,68.55,2023-01-17,0.0,19.950317,7.50226,0.0
22.35,68.7,2023-01-17,0.0,19.750336,7.1522603,0.0
22.35,68.85,2023-01-17,0.0,18.800323,6.1522603,0.0
22.35,69.0,2023-01-17,0.0,16.350311,4.20226,0.0
22.35,69.15,2023-01-17,0.0,16.550323,4.20226,0.0
22.35,69.3,2023-01-17,0.0,16.000336,4.00226,0.0
22.35,69.45,2023-01-17,0.0,14.5503235,3.5522602,0.0
22.35,69.6,2023-01-17,0.0,11.90033,2.60226,0.0
22.35,69.75,2023-01-17,0.0,9.350311,1.8522602,0.0
22.35,69.9,2023-01-17,0.0,7.8003235,1.4022602,0.0
22.35,70.05,2023-01-17,0.0,6.8003235,1.1522602,0.0
22.35,70.2,2023-01-17,0.0,5.8503113,0.9522602,0.0
22.35,70.35,2023-01-17,0.0,5.4003296,0.8522602,0.0
22.35,70.5,2023-01-17,0.0,5.2503357,0.9022602,0.0
22.35,70.65,2023-01-17,0.0,5.7253113,1.1022602,0.0
22.35,70.8,2023-01-17,0.0,7.0753174,1.3522602,0.0
22.35,70.95,2023-01-17,0.0,7.9253235,1.6022602,0.0
22.35,71.1,2023-01-17,0.0,8.225311,1.4022602,0.0
22.35,71.25,2023-01-17,0.0,8.325317,1.2522602,0.0
22.35,71.4,2023-01-17,0.0,8.4253235,1.7522602,0.0
22.35,71.55,2023-01-17,0.0,7.8503113,2.0522602,0.0
22.35,71.7,2023-01-17,0.0,7.4753113,2.4022603,0.0
22.35,71.85,2023-01-17,0.0,7.2003174,2.7022603,0.0
22.35,72.0,2023-01-17,0.0,6.9503174,2.85226,0.0
22.35,72.15,2023-01-17,0.0,7.5753174,2.9522603,0.0
22.35,72.3,2023-01-17,0.0,8.750336,3.5022602,0.0
22.35,72.45,2023-01-17,0.0,9.850311,4.10226,0.0
22.35,72.6,2023-01-17,0.0,10.350311,4.3022604,0.0
22.35,72.75,2023-01-17,0.0,10.975311,4.45226,0.0
22.35,72.9,2023-01-17,0.0,11.250336,4.10226,0.0
22.35,73.05,2023-01-17,0.0,11.600311,3.35226,0.0
22.35,73.2,2023-01-17,0.0,12.450317,2.6522603,0.0
22.35,73.35,2023-01-17,0.0,13.475311,3.2522602,0.0
22.35,73.5,2023-01-17,0.0,13.225311,2.9522603,0.0
22.35,73.65,2023-01-17,0.0,11.65033,2.8022602,0.0
22.35,73.8,2023-01-17,0.0,8.65033,2.3022602,0.0
22.35,73.95,2023-01-17,0.0,7.4003296,1.6522602,0.0
22.35,74.1,2023-01-17,0.0,7.8253174,2.10226,0.0
22.35,74.25,2023-01-17,0.0,8.850311,2.3022602,0.0
22.35,74.4,2023-01-17,0.0,9.3003235,1.8022602,0.0
22.35,74.55,2023-01-17,0.0,9.350311,1.4522601,0.0
22.35,74.7,2023-01-17,0.0,9.700317,1.3022602,0.0
22.35,74.85,2023-01-17,0.0,10.0503235,1.4022602,0.0
22.35,75.0,2023-01-17,0.0,10.1753235,1.8522602,0.0
22.35,75.15,2023-01-17,0.0,10.475311,2.10226,0.0
22.35,75.3,2023-01-17,0.0,10.40033,2.3022602,0.0
22.35,75.45,2023-01-17,0.0,10.3003235,2.35226,0.0
22.35,75.6,2023-01-17,0.0,10.6753235,2.2522602,0.0
22.35,75.75,2023-01-17,0.0,10.6753235,2.3022602,0.0
22.35,75.9,2023-01-17,0.0,10.0503235,2.0022602,0.0
22.5,60.0,2023-01-17,0.0,22.500336,1.9522601,0.0
22.5,60.15,2023-01-17,0.0,22.500336,2.4022603,0.0
22.5,60.3,2023-01-17,0.0,22.550323,2.7022603,0.0
22.5,60.45,2023-01-17,0.0,22.575317,2.9022603,0.0
22.5,60.6,2023-01-17,0.0,22.500336,3.0022602,0.0
22.5,60.75,2023-01-17,0.0,22.425323,3.10226,0.0
22.5,60.9,2023-01-17,0.0,22.350311,3.2522602,0.0
22.5,61.05,2023-01-17,0.0,22.300323,3.4522603,0.0
22.5,61.2,2023-01-17,0.0,22.250336,3.7522602,0.0
22.5,61.35,2023-01-17,0.0,22.250336,4.0522604,0.0
22.5,61.5,2023-01-17,0.0,22.225311,4.35226,0.0
22.5,61.65,2023-01-17,0.0,22.200317,4.6522603,0.0
22.5,61.8,2023-01-17,0.0,22.200317,4.95226,0.0
22.5,61.95,2023-01-17,0.0,22.200317,5.20226,0.0
22.5,62.1,2023-01-17,0.0,22.200317,5.45226,0.0
22.5,62.25,2023-01-17,0.0,22.175323,5.6522603,0.0
