,latitude,longitude,valid_time_0,t2m_0,si10_0,sde_0,valid_time_3,prate_3,t2m_3,si10_3,sde_3,valid_time_6,prate_6,t2m_6,si10_6,sde_6,valid_time_9,prate_9,t2m_9,si10_9,sde_9,valid_time_12,prate_12,t2m_12,si10_12,sde_12,valid_time_15,prate_15,t2m_15,si10_15,sde_15,valid_time_18,prate_18,t2m_18,si10_18,sde_18,valid_time_21,prate_21,t2m_21,si10_21,sde_21,valid_time_24,prate_24,t2m_24,si10_24,sde_24,valid_time_36,prate_36,t2m_36,si10_36,sde_36,valid_time_48,prate_48,t2m_48,si10_48,sde_48,valid_time_60,prate_60,t2m_60,si10_60,sde_60,valid_time_72,prate_72,t2m_72,si10_72,sde_72,valid_time_120,prate_120,t2m_120,si10_120,sde_120,valid_time_168,prate_168,t2m_168,si10_168,sde_168,valid_time_240,prate_240,t2m_240,si10_240,sde_240
0,35.4,73.35,2023-01-08,-3.346222,0.40129983,1.34,2023-01-08 03:00:00,1e-05,-3.8226013,0.40019038,1.340037,2023-01-08 06:00:00,7e-05,-1.7626038,0.40157026,1.340187,2023-01-08 09:00:00,0.00015,-1.1795349,0.35106757,1.345261,2023-01-08 12:00:00,0.00042,-1.7471008,0.3515368,1.357648,2023-01-08 15:00:00,0.00028,-2.138855,0.60188013,1.373859,2023-01-08 18:00:00,0.00018,-2.613739,0.60118484,1.381207,2023-01-08 21:00:00,0.00023,-3.040924,0.45117798,1.386244,2023-01-09,0.00032,-3.08255,0.50155014,1.399994,2023-01-09 12:00:00,5e-05,-1.4630432,0.45354694,1.427527,2023-01-10,1e-05,-4.250183,0.15230441,1.434951,2023-01-10 12:00:00,9e-05,-2.202423,0.50156236,1.433849,2023-01-11,0.00012,-3.692505,0.65288395,1.457826,2023-01-13,0.0002,-8.409454,0.47584412,1.540109,2023-01-15,0.0,-11.848633,0.45325673,1.581704,2023-01-17 12:00:00,0.0,-10.589142,0.7022001,1.493323
0,35.4,73.65,2023-01-08,-6.171234,0.6012998,6.515,2023-01-08 03:00:00,0.00012,-6.3976135,0.6001904,6.51985,2023-01-08 06:00:00,0.0001,-3.5126038,0.60157025,6.523601,2023-01-08 09:00:00,0.00024,-2.679535,0.8510676,6.527239,2023-01-08 12:00:00,0.00031,-3.5221252,0.40153682,6.53694,2023-01-08 15:00:00,0.00022,-4.113861,0.5018801,6.546753,2023-01-08 18:00:00,0.0001,-4.463745,0.60118484,6.551715,2023-01-08 21:00:00,5e-05,-5.065918,0.75117797,6.555503,2023-01-09,0.0001,-5.5575256,0.75155014,6.559254,2023-01-09 12:00:00,5e-05,-3.788025,0.30354694,6.580094,2023-01-10,0.0,-6.375183,0.7023044,6.580281,2023-01-10 12:00:00,7e-05,-3.952423,0.10156238,6.585094,2023-01-11,9e-05,-6.292511,0.5528839,6.586942,2023-01-13,4e-05,-10.534454,0.5258441,6.654986,2023-01-15,0.0,-14.998627,1.1532568,6.710112,2023-01-17 12:00:00,0.0,-12.38916,0.5022001,6.646886
0,35.55,73.05,2023-01-08,-6.196228,0.10129983,0.733669,2023-01-08 03:00:00,6e-05,-6.5226135,0.20019038,0.734918,2023-01-08 06:00:00,0.00016,-4.0126038,0.45157027,0.739828,2023-01-08 09:00:00,0.00028,-3.554535,0.6010676,0.751259,2023-01-08 12:00:00,0.00021,-4.072113,0.5015368,0.767778,2023-01-08 15:00:00,0.00016,-4.513855,0.5518801,0.77957,2023-01-08 18:00:00,0.00014,-5.138733,0.45118487,0.786182,2023-01-08 21:00:00,0.00049,-5.740906,0.351178,0.799752,2023-01-09,0.00032,-5.607544,0.45155013,0.821182,2023-01-09 12:00:00,3e-05,-4.338043,0.50354695,0.843695,2023-01-10,1e-05,-9.225189,0.30230442,0.856284,2023-01-10 12:00:00,0.0002,-5.5523987,0.6015624,0.857098,2023-01-11,0.00044,-7.6174927,0.30288392,0.925579,2023-01-13,9e-05,-12.284454,0.3008441,0.975579,2023-01-15,1e-05,-14.9236145,0.2532567,0.947368,2023-01-17 12:00:00,0.0,-12.414154,0.25220013,0.887439
0,35.55,73.35,2023-01-08,-3.446228,0.15129983,1.272687,2023-01-08 03:00:00,7e-05,-3.7976074,0.15019038,1.274209,2023-01-08 06:00:00,0.00016,-1.3626099,0.30157027,1.27939,2023-01-08 09:00:00,0.00024,-0.40454102,0.3010676,1.287344,2023-01-08 12:00:00,0.00032,-1.1471252,0.25153682,1.297181,2023-01-08 15:00:00,0.00028,-1.8388672,0.5018801,1.312725,2023-01-08 18:00:00,7e-05,-1.988739,0.5011849,1.316402,2023-01-08 21:00:00,0.0004,-2.540924,0.40117797,1.323558,2023-01-09,0.00038,-2.6575317,0.50155014,1.33912,2023-01-09 12:00:00,0.0,-1.2130432,0.40354693,1.369952,2023-01-10,0.0,-5.525177,0.10230441,1.374503,2023-01-10 12:00:00,8e-05,-2.002411,0.30156237,1.378524,2023-01-11,0.00028,-3.442505,0.30288392,1.415751,2023-01-13,0.00022,-7.8094482,0.3758441,1.452111,2023-01-15,0.0,-11.598633,0.30325672,1.46135,2023-01-17 12:00:00,0.0,-10.039154,0.4522001,1.421752
0,35.55,73.2,2023-01-08,-4.446228,0.40129983,1.272599,2023-01-08 03:00:00,0.00011,-4.8226013,0.3001904,1.277599,2023-01-08 06:00:00,0.00022,-3.1626282,0.5015703,1.283322,2023-01-08 09:00:00,0.00042,-2.679535,0.6010676,1.299046,2023-01-08 12:00:00,0.00031,-3.1721191,0.4515368,1.320131,2023-01-08 15:00:00,0.00028,-3.7138672,0.7018801,1.336214,2023-01-08 18:00:00,0.00013,-4.213745,0.65118486,1.346576,2023-01-08 21:00:00,0.0006,-4.815918,0.45117798,1.356938,2023-01-09,0.00043,-4.732544,0.60155016,1.382662,2023-01-09 12:00:00,3e-05,-3.6880188,0.45354694,1.425554,2023-01-10,0.0,-5.3251953,0.30230442,1.444829,2023-01-10 12:00:00,0.00012,-4.452423,0.7015624,1.445914,2023-01-11,0.00057,-5.417511,0.7028839,1.510916,2023-01-13,0.00021,-10.409454,0.5508441,1.560916,2023-01-15,0.0,-13.198639,0.3532567,1.549827,2023-01-17 12:00:00,0.0,-11.63916,0.6022001,1.508376
0,35.7,72.9,2023-01-08,-9.921234,0.25129983,0.735,2023-01-08 03:00:00,1e-05,-10.397614,0.25019038,0.735,2023-01-08 06:00:00,0.0001,-8.162628,0.60157025,0.737787,2023-01-08 09:00:00,0.00019,-7.304535,0.65106755,0.745574,2023-01-08 12:00:00,0.00037,-7.622101,0.7515368,0.76615,2023-01-08 15:00:00,0.00024,-8.013855,0.90188015,0.78365,2023-01-08 18:00:00,0.00026,-8.738739,0.7511849,0.796437,2023-01-08 21:00:00,0.00032,-9.3909,0.50117797,0.808938,2023-01-09,0.00036,-9.45755,0.85155016,0.831438,2023-01-09 12:00:00,0.0001,-8.363037,0.75354695,0.855375,2023-01-10,2e-05,-10.775177,0.4023044,0.86316,2023-01-10 12:00:00,0.00019,-10.102417,1.1515623,0.872874,2023-01-11,0.00042,-11.092499,0.5028839,0.93365,2023-01-13,7e-05,-17.434448,0.5758441,0.976437,2023-01-15,1e-05,-20.77362,0.6032567,0.952297,2023-01-17 12:00:00,0.0,-17.38916,0.25220013,0.876522
0,35.7,73.05,2023-01-08,-10.071228,0.20129983,0.653789,2023-01-08 03:00:00,4e-05,-10.522614,0.25019038,0.655039,2023-01-08 06:00:00,0.00016,-8.36261,0.65157026,0.658931,2023-01-08 09:00:00,0.00024,-7.779541,0.7510676,0.672249,2023-01-08 12:00:00,0.00033,-8.297119,0.6515368,0.692246,2023-01-08 15:00:00,0.00024,-8.513855,0.7518801,0.710707,2023-01-08 18:00:00,0.00019,-9.013733,0.7511849,0.722244,2023-01-08 21:00:00,0.00029,-9.665924,0.551178,0.733492,2023-01-09,0.00037,-9.757538,0.80155015,0.756954,2023-01-09 12:00:00,0.00018,-8.688019,0.9035469,0.794836,2023-01-10,4e-05,-10.750183,0.50230443,0.808156,2023-01-10 12:00:00,0.00025,-10.302399,1.2015624,0.818542,2023-01-11,0.00035,-11.292511,0.7028839,0.880238,2023-01-13,0.00014,-17.059448,0.7008441,0.928658,2023-01-15,1e-05,-20.27362,0.45325673,0.908558,2023-01-17 12:00:00,0.0,-17.439148,0.20220011,0.835424
0,35.85,73.05,2023-01-08,-13.27124,0.5512998,0.653789,2023-01-08 03:00:00,4e-05,-13.922607,0.40019038,0.654841,2023-01-08 06:00:00,0.00013,-10.912628,0.85157025,0.659252,2023-01-08 09:00:00,0.00019,-10.229523,0.95106757,0.668268,2023-01-08 12:00:00,0.00033,-11.047119,0.8515368,0.687284,2023-01-08 15:00:00,0.00019,-11.588867,0.90188015,0.70255,2023-01-08 18:00:00,0.00019,-12.038727,0.95118487,0.714727,2023-01-08 21:00:00,0.00022,-12.740906,0.70117795,0.725189,2023-01-09,0.00031,-12.882538,0.9015501,0.744077,2023-01-09 12:00:00,0.0001,-11.938019,1.103547,0.771392,2023-01-10,2e-05,-14.475189,1.1523044,0.780013,2023-01-10 12:00:00,0.00013,-13.602417,1.9515624,0.783173,2023-01-11,0.00021,-13.767487,1.6028839,0.814305,2023-01-13,0.0001,-20.334442,1.1008441,0.847798,2023-01-15,1e-05,-25.998627,0.15325671,0.838319,2023-01-17 12:00:00,0.0,-20.339157,0.3022001,0.783704
0,34.2,73.35,2023-01-08,3.5787659,0.75129986,0.0,2023-01-08 03:00:00,0.0,3.627411,0.8501904,0.0,2023-01-08 06:00:00,0.0,8.88739,0.9515703,0.0,2023-01-08 09:00:00,0.00016,7.195465,0.5010676,0.0,2023-01-08 12:00:00,0.00031,6.002899,0.6515368,0.0,2023-01-08 15:00:00,0.00113,5.161133,0.7518801,0.0,2023-01-08 18:00:00,0.0,4.136261,1.3511848,0.0,2023-01-08 21:00:00,0.0,3.209076,1.001178,0.0,2023-01-09,0.0,3.1924744,0.85155016,0.0,2023-01-09 12:00:00,0.0,9.361969,0.75354695,0.0,2023-01-10,0.0,0.974823,0.9523044,0.0,2023-01-10 12:00:00,0.0,9.997589,0.30156237,0.0,2023-01-11,0.00019,3.6575012,0.85288393,0.0,2023-01-13,0.0001,0.51556396,0.3258441,0.040048,2023-01-15,0.0,-6.348633,0.8532567,0.09693,2023-01-17 12:00:00,0.0,2.6108398,0.20220011,0.050319
0,34.2,72.9,2023-01-08,8.628754,1.1012999,0.0,2023-01-08 03:00:00,0.0,7.9773865,1.5501903,0.0,2023-01-08 06:00:00,0.0,12.63739,1.3515702,0.0,2023-01-08 09:00:00,0.0,14.170471,1.3510675,0.0,2023-01-08 12:00:00,0.0,11.327881,2.0515368,0.0,2023-01-08 15:00:00,7e-05,9.011139,2.7018802,0.0,2023-01-08 18:00:00,1e-05,8.636261,3.1011848,0.0,2023-01-08 21:00:00,0.0,9.134094,2.101178,0.0,2023-01-09,0.0,8.592468,1.6515502,0.0,2023-01-09 12:00:00,0.0,13.311981,0.30354694,0.0,2023-01-10,0.0,5.5747986,1.4523044,0.0,2023-01-10 12:00:00,0.0,12.047577,0.10156238,0.0,2023-01-11,0.0,8.157501,1.6528839,0.0,2023-01-13,3e-05,2.265564,0.7508441,0.0,2023-01-15,0.0,-0.3736267,1.5032567,0.0,2023-01-17 12:00:00,0.0,7.935852,0.3022001,0.0
