latitude,longitude,valid_time_12,prate_12,t2m_12,si10_12,sde_12
22.05,60.0,2022-11-21,0.0,25.760406,2.5760472,0.0
22.05,60.15,2022-11-21,0.0,25.810394,2.5510473,0.0
22.05,60.3,2022-11-21,0.0,25.7854,2.4760473,0.0
22.05,60.45,2022-11-21,0.0,25.735413,2.3510473,0.0
22.05,60.6,2022-11-21,0.0,25.6604,2.1510472,0.0
22.05,60.75,2022-11-21,0.0,25.560394,1.9510473,0.0
22.05,60.9,2022-11-21,0.0,25.5354,1.7260473,0.0
22.05,61.05,2022-11-21,0.0,25.510406,1.5510473,0.0
22.05,61.2,2022-11-21,0.0,25.485413,1.3760473,0.0
22.05,61.35,2022-11-21,0.0,25.460419,1.2260473,0.0
22.05,61.5,2022-11-21,0.0,25.4104,1.0260472,0.0
22.05,61.65,2022-11-21,0.0,25.4104,0.7760473,0.0
22.05,61.8,2022-11-21,0.0,25.4104,0.45104727,0.0
22.05,61.95,2022-11-21,0.0,25.4104,0.15104727,0.0
22.05,62.1,2022-11-21,0.0,25.460419,0.22604728,0.0
22.05,62.25,2022-11-21,0.0,25.510406,0.5260473,0.0
22.05,62.4,2022-11-21,0.0,25.635406,0.87604725,0.0
22.05,62.55,2022-11-21,0.0,25.760406,1.2010473,0.0
22.05,62.7,2022-11-21,0.0,25.885406,1.4510473,0.0
22.05,62.85,2022-11-21,0.0,25.985413,1.6760473,0.0
22.05,63.0,2022-11-21,0.0,26.0354,1.8260473,0.0
22.05,63.15,2022-11-21,0.0,26.1604,2.0010474,0.0
22.05,63.3,2022-11-21,0.0,26.235413,2.1760473,0.0
22.05,63.45,2022-11-21,0.0,26.2854,2.3510473,0.0
22.05,63.6,2022-11-21,0.0,26.310394,2.5510473,0.0
22.05,63.75,2022-11-21,0.0,26.310394,2.6760473,0.0
22.05,63.9,2022-11-21,0.0,26.310394,2.7760472,0.0
22.05,64.05,2022-11-21,0.0,26.360413,2.8260472,0.0
22.05,64.2,2022-11-21,0.0,26.310394,2.9010472,0.0
22.05,64.35,2022-11-21,0.0,26.310394,2.9010472,0.0
22.05,64.5,2022-11-21,0.0,26.360413,2.9260473,0.0
22.05,64.65,2022-11-21,0.0,26.4104,3.0010474,0.0
22.05,64.8,2022-11-21,0.0,26.510406,3.0760472,0.0
22.05,64.95,2022-11-21,0.0,26.560394,3.2760472,0.0
22.05,65.1,2022-11-21,0.0,26.635406,3.4760473,0.0
22.05,65.25,2022-11-21,0.0,26.710419,3.7260473,0.0
22.05,65.4,2022-11-21,0.0,26.760406,4.0510473,0.0
22.05,65.55,2022-11-21,0.0,26.7854,4.476047,0.0
22.05,65.7,2022-11-21,0.0,26.860413,4.851047,0.0
22.05,65.85,2022-11-21,0.0,26.885406,5.2010474,0.0
22.05,66.0,2022-11-21,0.0,26.960419,5.526047,0.0
22.05,66.15,2022-11-21,0.0,26.960419,5.776047,0.0
22.05,66.3,2022-11-21,0.0,26.9104,6.0760474,0.0
22.05,66.45,2022-11-21,0.0,26.860413,6.3260474,0.0
22.05,66.6,2022-11-21,0.0,26.810394,6.626047,0.0
22.05,66.75,2022-11-21,0.0,26.810394,6.851047,0.0
22.05,66.9,2022-11-21,0.0,26.7854,7.001047,0.0
22.05,67.05,2022-11-21,0.0,26.7854,7.0760474,0.0
22.05,67.2,2022-11-21,0.0,26.7854,7.101047,0.0
22.05,67.35,2022-11-21,0.0,26.810394,6.976047,0.0
22.05,67.5,2022-11-21,0.0,26.885406,6.726047,0.0
22.05,67.65,2022-11-21,0.0,26.9104,6.4510474,0.0
22.05,67.8,2022-11-21,0.0,26.960419,6.151047,0.0
22.05,67.95,2022-11-21,0.0,26.960419,5.976047,0.0
22.05,68.1,2022-11-21,0.0,26.960419,5.851047,0.0
22.05,68.25,2022-11-21,0.0,26.960419,5.776047,0.0
22.05,68.4,2022-11-21,0.0,27.010406,5.626047,0.0
22.05,68.55,2022-11-21,0.0,27.010406,5.501047,0.0
22.05,68.7,2022-11-21,0.0,26.885406,5.3260474,0.0
22.05,68.85,2022-11-21,0.0,26.2854,4.9510474,0.0
22.05,69.0,2022-11-21,0.0,24.960419,4.126047,0.0
22.05,69.15,2022-11-21,0.0,21.710419,2.6760473,0.0
22.05,69.3,2022-11-21,0.0,19.235413,1.8260473,0.0
22.05,69.45,2022-11-21,0.0,17.610413,1.4760473,0.0
22.05,69.6,2022-11-21,0.0,16.885406,1.4510473,0.0
22.05,69.75,2022-11-21,0.0,16.4104,1.5510473,0.0
22.05,69.9,2022-11-21,0.0,16.460419,1.6510472,0.0
22.05,70.05,2022-11-21,0.0,16.735413,1.8010473,0.0
22.05,70.2,2022-11-21,0.0,17.010406,1.8760473,0.0
22.05,70.35,2022-11-21,0.0,16.385406,1.6510472,0.0
22.05,70.5,2022-11-21,0.0,16.135406,1.5510473,0.0
22.05,70.65,2022-11-21,0.0,16.360413,1.6010473,0.0
22.05,70.8,2022-11-21,0.0,17.060394,1.8260473,0.0
22.05,70.95,2022-11-21,0.0,17.210419,1.9260473,0.0
22.05,71.1,2022-11-21,0.0,17.1604,1.9260473,0.0
22.05,71.25,2022-11-21,0.0,17.0354,1.7260473,0.0
22.05,71.4,2022-11-21,0.0,17.010406,1.6510472,0.0
22.05,71.55,2022-11-21,0.0,16.5354,1.8010473,0.0
22.05,71.7,2022-11-21,0.0,15.8854065,1.4510473,0.0
22.05,71.85,2022-11-21,0.0,15.0104065,0.9760473,0.0
22.05,72.0,2022-11-21,0.0,13.960419,1.1010473,0.0
22.05,72.15,2022-11-21,0.0,16.760406,1.9260473,0.0
22.05,72.3,2022-11-21,0.0,19.360413,2.6260474,0.0
22.05,72.45,2022-11-21,0.0,19.960419,3.2510474,0.0
22.05,72.6,2022-11-21,0.0,16.560394,2.8260472,0.0
22.05,72.75,2022-11-21,0.0,14.5354,2.4760473,0.0
22.05,72.9,2022-11-21,0.0,13.9104,2.6760473,0.0
22.05,73.05,2022-11-21,0.0,14.1604,3.2760472,0.0
22.05,73.2,2022-11-21,0.0,14.710419,4.2010474,0.0
22.05,73.35,2022-11-21,0.0,13.560394,3.8010473,0.0
22.05,73.5,2022-11-21,0.0,12.2854,3.1510472,0.0
22.05,73.65,2022-11-21,0.0,11.3854065,2.5010474,0.0
22.05,73.8,2022-11-21,0.0,11.310394,2.1010473,0.0
22.05,73.95,2022-11-21,0.0,12.4104,2.3760474,0.0
22.05,74.1,2022-11-21,0.0,12.060394,2.3260472,0.0
22.05,74.25,2022-11-21,0.0,11.5104065,1.8010473,0.0
22.05,74.4,2022-11-21,0.0,11.8854065,1.2760472,0.0
22.05,74.55,2022-11-21,0.0,11.860413,0.9010473,0.0
22.05,74.7,2022-11-21,0.0,11.560394,0.55104727,0.0
22.05,74.85,2022-11-21,0.0,11.210419,0.30104727,0.0
22.05,75.0,2022-11-21,0.0,10.7854,0.22604728,0.0
22.05,75.15,2022-11-21,0.0,9.810394,0.45104727,0.0
22.05,75.3,2022-11-21,0.0,9.5104065,0.45104727,0.0
22.05,75.45,2022-11-21,0.0,9.560394,0.37604728,0.0
22.05,75.6,2022-11-21,0.0,9.6604,0.35104728,0.0
22.05,75.75,2022-11-21,0.0,8.9104,0.6010473,0.0
22.05,75.9,2022-11-21,0.0,9.0104065,0.6510473,0.0
22.2,60.0,2022-11-21,0.0,25.735413,3.0010474,0.0
22.2,60.15,2022-11-21,0.0,25.810394,2.9010472,0.0
22.2,60.3,2022-11-21,0.0,25.885406,2.8010473,0.0
22.2,60.45,2022-11-21,0.0,25.860413,2.6760473,0.0
