latitude,longitude,valid_time_240,prate_240,t2m_240,si10_240,sde_240
22.05,60.0,2022-12-01,0.0,25.233002,7.80214,0.0
22.05,60.15,2022-12-01,0.0,25.207977,7.35214,0.0
22.05,60.3,2022-12-01,0.0,25.207977,7.05214,0.0
22.05,60.45,2022-12-01,0.0,25.207977,6.80214,0.0
22.05,60.6,2022-12-01,0.0,25.207977,6.60214,0.0
22.05,60.75,2022-12-01,0.0,25.207977,6.4521403,0.0
22.05,60.9,2022-12-01,0.0,25.207977,6.30214,0.0
22.05,61.05,2022-12-01,0.0,25.233002,6.15214,0.0
22.05,61.2,2022-12-01,0.0,25.233002,6.00214,0.0
22.05,61.35,2022-12-01,0.0,25.307983,5.85214,0.0
22.05,61.5,2022-12-01,0.0,25.382996,5.7021403,0.0
22.05,61.65,2022-12-01,0.0,25.432983,5.55214,0.0
22.05,61.8,2022-12-01,0.0,25.557983,5.35214,0.0
22.05,61.95,2022-12-01,0.0,25.682983,5.25214,0.0
22.05,62.1,2022-12-01,0.0,25.733002,5.25214,0.0
22.05,62.25,2022-12-01,0.0,25.78299,5.35214,0.0
22.05,62.4,2022-12-01,0.0,25.78299,5.55214,0.0
22.05,62.55,2022-12-01,0.0,25.78299,5.65214,0.0
22.05,62.7,2022-12-01,0.0,25.832977,5.7021403,0.0
22.05,62.85,2022-12-01,0.0,25.882996,5.80214,0.0
22.05,63.0,2022-12-01,0.0,25.932983,5.9521403,0.0
22.05,63.15,2022-12-01,0.0,25.832977,6.15214,0.0
22.05,63.3,2022-12-01,0.0,25.733002,6.30214,0.0
22.05,63.45,2022-12-01,0.0,25.682983,6.35214,0.0
22.05,63.6,2022-12-01,0.0,25.65799,6.40214,0.0
22.05,63.75,2022-12-01,0.0,25.707977,6.40214,0.0
22.05,63.9,2022-12-01,0.0,25.807983,6.35214,0.0
22.05,64.05,2022-12-01,0.0,25.932983,6.35214,0.0
22.05,64.2,2022-12-01,0.0,26.057983,6.35214,0.0
22.05,64.35,2022-12-01,0.0,26.15799,6.35214,0.0
22.05,64.5,2022-12-01,0.0,26.207977,6.40214,0.0
22.05,64.65,2022-12-01,0.0,26.28299,6.4521403,0.0
22.05,64.8,2022-12-01,0.0,26.332977,6.55214,0.0
22.05,64.95,2022-12-01,0.0,26.40799,6.7021403,0.0
22.05,65.1,2022-12-01,0.0,26.432983,6.80214,0.0
22.05,65.25,2022-12-01,0.0,26.432983,6.9521403,0.0
22.05,65.4,2022-12-01,0.0,26.40799,7.10214,0.0
22.05,65.55,2022-12-01,0.0,26.307983,7.25214,0.0
22.05,65.7,2022-12-01,0.0,26.182983,7.40214,0.0
22.05,65.85,2022-12-01,0.0,26.03299,7.50214,0.0
22.05,66.0,2022-12-01,0.0,25.90799,7.60214,0.0
22.05,66.15,2022-12-01,0.0,25.832977,7.65214,0.0
